id,login_bonus_id,count,reward_type,reward_id,reward_num,character_id,character_name,description,voice_id,bg_id
1,20000,1,8,91002,100,0,"","",0,0
2,20000,1,2,23001,20,0,"","",0,0
3,20000,2,8,91002,100,0,"","",0,0
4,20000,2,2,23001,20,0,"","",0,0
5,20000,3,8,91002,100,0,"","",0,0
6,20000,3,2,23001,20,0,"","",0,0
7,20000,4,8,91002,100,0,"","",0,0
8,20000,4,2,23001,20,0,"","",0,0
9,20000,5,8,91002,200,0,"","",0,0
10,20000,5,2,23001,20,0,"","",0,0
11,20000,6,8,91002,100,0,"","",0,0
12,20000,6,2,23001,20,0,"","",0,0
13,20000,7,8,91002,100,0,"","",0,0
14,20000,7,2,23001,20,0,"","",0,0
15,20000,8,8,91002,100,0,"","",0,0
16,20000,8,2,23001,20,0,"","",0,0
17,20000,9,8,91002,100,0,"","",0,0
18,20000,9,2,23001,20,0,"","",0,0
19,20000,10,8,91002,300,0,"","",0,0
20,20000,10,2,23001,20,0,"","",0,0
21,30000,1,2,23001,5,0,"","",0,0
22,30000,2,2,90007,1000,0,"","",0,0
23,30000,3,2,20002,5,0,"","",0,0
24,30000,4,8,91002,50,0,"","",0,0
25,30000,5,12,94002,30000,0,"","",0,0
26,30000,6,2,23001,10,0,"","",0,0
27,30000,7,2,90007,1500,0,"","",0,0
28,30000,8,2,20002,10,0,"","",0,0
29,30000,9,8,91002,80,0,"","",0,0
30,30000,10,2,24001,1,0,"","",0,0
31,30000,11,2,23001,15,0,"","",0,0
32,30000,12,2,90007,2000,0,"","",0,0
33,30000,13,2,22002,3,0,"","",0,0
34,30000,14,8,91002,100,0,"","",0,0
35,30000,15,2,24001,1,0,"","",0,0
36,48001,1,8,91002,300,0,"","",0,0
37,48001,2,8,91002,100,0,"","",0,0
38,48001,3,8,91002,100,0,"","",0,0
39,48001,4,8,91002,100,0,"","",0,0
40,48001,5,8,91002,100,0,"","",0,0
41,48001,6,8,91002,100,0,"","",0,0
42,48001,7,8,91002,200,0,"","",0,0
43,48001,8,8,91002,100,0,"","",0,0
44,48001,9,8,91002,100,0,"","",0,0
45,48001,10,8,91002,300,0,"","",0,0
46,48002,1,8,91002,300,0,"","",0,0
47,48002,2,8,91002,100,0,"","",0,0
48,48002,3,8,91002,100,0,"","",0,0
49,48002,4,8,91002,200,0,"","",0,0
50,48002,5,8,91002,100,0,"","",0,0
51,48002,6,8,91002,100,0,"","",0,0
52,48002,7,8,91002,100,0,"","",0,0
53,48002,8,8,91002,100,0,"","",0,0
54,48002,9,8,91002,100,0,"","",0,0
55,48002,10,8,91002,300,0,"","",0,0
56,48003,1,8,91002,300,0,"","",0,0
57,48003,2,8,91002,100,0,"","",0,0
58,48003,3,8,91002,100,0,"","",0,0
59,48003,4,8,91002,100,0,"","",0,0
60,48003,5,8,91002,100,0,"","",0,0
61,48003,6,8,91002,100,0,"","",0,0
62,48003,7,8,91002,200,0,"","",0,0
63,48003,8,8,91002,100,0,"","",0,0
64,48003,9,8,91002,100,0,"","",0,0
65,48003,10,8,91002,300,0,"","",0,0
66,48004,1,8,91002,150,0,"","",0,0
67,48004,2,8,91002,150,0,"","",0,0
68,48004,3,8,91002,150,0,"","",0,0
69,48004,4,8,91002,150,0,"","",0,0
70,48004,5,8,91002,150,0,"","",0,0
71,48004,6,8,91002,150,0,"","",0,0
72,48004,7,8,91002,150,0,"","",0,0
73,48004,8,8,91002,150,0,"","",0,0
74,48004,9,8,91002,150,0,"","",0,0
75,48004,10,8,91002,150,0,"","",0,0
