unit_id,equip_slot,equip_id
100101,1,130011
100201,1,130021
100301,1,130031
100401,1,130041
100501,1,130051
100601,1,130061
100701,1,130071
100801,1,130081
100901,1,130091
101001,1,130101
101101,1,130111
101201,1,130121
101301,1,130131
101401,1,130141
101501,1,130151
101601,1,130161
101701,1,130171
101801,1,130181
102001,1,130201
102101,1,130211
102201,1,130221
102301,1,130231
102501,1,130251
102601,1,130261
102701,1,130271
102801,1,130281
102901,1,130291
103001,1,130301
103101,1,130311
103201,1,130321
103301,1,130331
103401,1,130341
103601,1,130361
103701,1,130371
103801,1,130381
104001,1,130401
104201,1,130421
104301,1,130431
104401,1,130441
104501,1,130451
104601,1,130461
104701,1,130471
104801,1,130481
104901,1,130491
105001,1,130501
105101,1,130511
105201,1,130521
105301,1,130531
105401,1,130541
105501,1,130551
105601,1,130561
105701,1,130571
105801,1,130581
105901,1,130591
106001,1,130601
106101,1,130611
106301,1,130631
106501,1,130651
107101,1,130711
107501,1,130751
107601,1,130761
107701,1,130771
107801,1,130781
107901,1,130791
108001,1,130801
108101,1,130811
108201,1,130821
108301,1,130831
108401,1,130841
108501,1,130851
108601,1,130861
108701,1,130871
108801,1,130881
108901,1,130891
109001,1,130901
109101,1,130911
109201,1,130921
109301,1,130931
109401,1,130941
109501,1,130951
109601,1,130961
109701,1,130971
109801,1,130981
109901,1,130991
110001,1,131001
110101,1,131011
110301,1,131031
110401,1,131041
110501,1,131051
110601,1,131061
110701,1,131071
110801,1,131081
111101,1,131111
111201,1,131121
111301,1,131131
111401,1,131141
111501,1,131151
111601,1,131161
111701,1,131171
