chara_id,name,love_level,scale,position_x,position_y,voice_id_1,face_1,serif_1,voice_id_2,face_2,serif_2,voice_id_3,face_3,serif_3
1001,"春咲日和莉",2,1.4,0,0,0,1,"我是日和莉♪\n我会精神百倍地加油的♪",0,1,"哦！\n那个人好像很困扰！",0,1,"喂喂，骑士君\n我们去帮帮忙吧~"
1002,"草野优衣",2,1.4,0,0,0,1,"我必须要像大家那样\n变得更强才行",0,1,"我想强大到\n足以守护最重要的人……啊",0,1,"我、我、\n都在说些什么呀\n啊哈哈……"
1003,"士条怜",2,1.4,0,0,0,1,"试着练习击剑吧？",0,1,"应该可以稍微锻炼一下",0,1,"对你而言必需的集中力和敏感度哦。"
1004,"穗高未奏希",2,1.5,0,0,0,1,"喂，哥哥！",0,1,"我们今天玩什么？",0,1,"未奏希我呀\n想玩捉迷藏！"
1006,"风宫茜里",2,1.4,0,0,0,1,"我是风宫茜里",0,1,"喂……",0,1,"要不要和我……\n一起去？"
1007,"出云宫子",2,1.5,0,0,0,1,"我叫出云宫子——",0,1,"我想吃布丁——",0,1,"食物的怨念是很可怕哦——"
1008,"虹村雪",2,1.4,0,0,0,1,"我是虹村雪。",0,1,"你也是被我的美貌\n吸引而来的吧。",0,1,"可以哦。\n被大家欣赏就是我的命运啊……"
1009,"柊杏奈",2,1.4,0,0,0,1,"哼……听完后就好好后悔吧！",0,1,"我的真名为\n安妮罗洁・冯・修特帕鲁！",0,1,"人称「疾风之冥姬」！！"
1010,"姬宫真步",2,1.5,0,0,0,1,"我是真步真步王国的公主，\n真步公主哟",0,1,"小兔子，\n你指引着我与命中注定的王子相遇",0,1,"真是感激不尽呢~♪"
1011,"衣之咲璃乃",2,1.4,0,0,0,1,"我是衣之咲璃乃！",0,1,"在这三千世界中\n寻找着与我分离的哥哥！",0,1,"在这里碰上我\n你的运气也到头了~！"
1012,"柏崎初音",2,1.4,0,0,0,1,"我是初音，\n很强哦。\n闪亮亮☆",0,1,"超、超能力……\n什么意思呀~？",0,1,"……呃，拜托你！\n不要告诉任何人~！"
1016,"美波铃奈",2,1.4,0,0,0,1,"你好啊！\n我是美波铃奈哦~♪",0,1,"是一名兼任平面模特的女高中生哦！",0,1,"秀才简直\n感好（感觉真好）~♪"
1017,"喜屋武香织",2,1.4,0,0,0,1,"你好。\n我是喜屋武香织",0,1,"东京就像游乐场一样",0,1,"不过，冲绳也是个好地方哦"
1018,"支仓伊绪",2,1.4,0,0,0,1,"我叫支仓伊绪。",0,1,"被称呼为老师\n实在太难为情了",0,1,"请叫我小伊绪吧。"
