story_group_id,story_type,value,title,thumbnail_id,disp_order,start_time,end_time
5001,5,10001,"初音的礼物大作战",0,1,"2020/05/11 13:00:00","2099/12/31 23:59:59"
5002,5,10002,"小小甜心冒险家",0,1,"2020/06/03 15:00:00","2099/12/31 23:59:59"
5003,5,10003,"吸血鬼猎人with伊莉亚",0,1,"2020/07/02 15:00:00","2099/12/31 23:59:59"
5004,5,10004,"危险假日！！ 海边的美食家公主",0,1,"2020/07/30 15:00:00","2099/12/31 23:59:59"
5005,5,10005,"珠希和美冬的无人岛0金币生活",0,1,"2020/08/27 15:00:00","2099/12/31 23:59:59"
5006,5,10006,"黑铁的亡灵（梦魇）",0,1,"2020/09/24 15:00:00","2099/12/31 23:59:59"
5007,5,10007,"不给布丁就捣蛋！约定的万圣节派对",0,1,"2020/10/22 15:00:00","2099/12/31 23:59:59"
5008,5,10008,"暮光破坏者",0,1,"2020/11/19 15:00:00","2099/12/31 23:59:59"
5009,5,10009,"忘却的圣歌",0,1,"2020/12/17 15:00:00","2099/12/31 23:59:59"
5010,5,10010,"新春破晓之星大危机！",0,1,"2021/01/14 15:00:00","2099/12/31 23:59:59"
