id,fortune_id,rank,reward_type_1,reward_id_1,count_1,reward_type_2,reward_id_2,count_2,reward_type_3,reward_id_3,count_3,reward_type_4,reward_id_4,count_4,reward_type_5,reward_id_5,count_5
1,10000,1,8,91002,500,0,0,0,0,0,0,0,0,0,0,0,0
2,10000,2,8,91002,400,0,0,0,0,0,0,0,0,0,0,0,0
3,10000,3,8,91002,300,0,0,0,0,0,0,0,0,0,0,0,0
4,10000,4,8,91002,250,0,0,0,0,0,0,0,0,0,0,0,0
5,18001,1,8,91002,500,0,0,0,0,0,0,0,0,0,0,0,0
6,18001,2,8,91002,400,0,0,0,0,0,0,0,0,0,0,0,0
7,18001,3,8,91002,300,0,0,0,0,0,0,0,0,0,0,0,0
8,18001,4,8,91002,250,0,0,0,0,0,0,0,0,0,0,0,0
9,18002,1,8,91002,500,0,0,0,0,0,0,0,0,0,0,0,0
10,18002,2,8,91002,400,0,0,0,0,0,0,0,0,0,0,0,0
11,18002,3,8,91002,300,0,0,0,0,0,0,0,0,0,0,0,0
12,18002,4,8,91002,250,0,0,0,0,0,0,0,0,0,0,0,0
13,18003,1,8,91002,500,0,0,0,0,0,0,0,0,0,0,0,0
14,18003,2,8,91002,400,0,0,0,0,0,0,0,0,0,0,0,0
15,18003,3,8,91002,300,0,0,0,0,0,0,0,0,0,0,0,0
16,18003,4,8,91002,250,0,0,0,0,0,0,0,0,0,0,0,0
17,18004,1,8,91002,500,0,0,0,0,0,0,0,0,0,0,0,0
18,18004,2,8,91002,400,0,0,0,0,0,0,0,0,0,0,0,0
19,18004,3,8,91002,300,0,0,0,0,0,0,0,0,0,0,0,0
20,18004,4,8,91002,250,0,0,0,0,0,0,0,0,0,0,0,0
21,18005,1,8,91002,500,0,0,0,0,0,0,0,0,0,0,0,0
22,18005,2,8,91002,400,0,0,0,0,0,0,0,0,0,0,0,0
23,18005,3,8,91002,300,0,0,0,0,0,0,0,0,0,0,0,0
24,18005,4,8,91002,250,0,0,0,0,0,0,0,0,0,0,0,0
25,10003,1,8,91002,500,0,0,0,0,0,0,0,0,0,0,0,0
26,10003,2,8,91002,400,0,0,0,0,0,0,0,0,0,0,0,0
27,10003,3,8,91002,300,0,0,0,0,0,0,0,0,0,0,0,0
28,10003,4,8,91002,250,0,0,0,0,0,0,0,0,0,0,0,0
33,10005,1,8,91002,500,0,0,0,0,0,0,0,0,0,0,0,0
34,10005,2,8,91002,400,0,0,0,0,0,0,0,0,0,0,0,0
35,10005,3,8,91002,300,0,0,0,0,0,0,0,0,0,0,0,0
36,10005,4,8,91002,250,0,0,0,0,0,0,0,0,0,0,0,0
