clan_battle_id,period,period_detail,period_detail_bg,period_detail_s,period_detail_bg_s,period_detail_bg_position,period_detail_boss_position_x,period_detail_boss_position_y,start_time,end_time,interval_start,interval_end,calc_start,result_start,result_end,limit_time,chest_id,quest_detail_rehearsal_label_height,min_carry_over_time
1001,1,"团队战开始！和行会成员互相合作\n打倒怪物吧！",101011,"团队战开始！培养角色\n打倒怪物吧！",101011,0,0,0,"2020/05/07 5:00:00","2020/05/14 23:59:59",2020/05/15,"2020/06/02 4:59:59",2020/05/15,"2020/05/18 15:00:00","2020/06/02 4:59:59",90,40004,25,0
1002,1,"和行会成员互相合作\n打倒强大的怪物吧！",101021,"团队战开始！培养角色\n打倒怪物吧！",101021,0,0,0,"2020/06/02 5:00:00","2020/06/07 23:59:59",2020/06/08,"2020/06/30 4:59:59",2020/06/08,"2020/06/12 15:00:00","2020/06/30 4:59:59",90,40004,25,0
1003,1,"和行会成员互相合作\n打倒强大的怪物吧！",101042,"团队战开始！培养角色\n打倒怪物吧！",101042,0,0,0,"2020/06/30 5:00:00","2020/07/05 23:59:59",2020/07/06,"2020/07/28 4:59:59",2020/07/06,"2020/07/09 15:00:00","2020/07/28 4:59:59",90,40004,25,0
1004,1,"和行会成员互相合作\n打倒强大的怪物吧！",101161,"团队战开始！培养角色\n打倒怪物吧！",101161,0,0,0,"2020/07/28 5:00:00","2020/08/02 23:59:59",2020/08/03,"2020/08/25 4:59:59",2020/08/03,"2020/08/06 15:00:00","2020/08/25 4:59:59",90,40004,25,0
1005,1,"和行会成员互相合作\n打倒强大的怪物吧！",101171,"团队战开始！培养角色\n打倒怪物吧！",101171,0,0,0,"2020/08/24 5:00:00","2020/08/29 23:59:59",2020/08/30,"2020/09/22 4:59:59",2020/08/30,"2020/09/02 15:00:00","2020/09/22 4:59:59",90,40004,25,0
1006,1,"和行会成员互相合作\n打倒强大的怪物吧！",101191,"团队战开始！培养角色\n打倒怪物吧！",101191,0,0,0,"2020/09/22 5:00:00","2020/09/27 23:59:59",2020/09/28,"2020/10/20 4:59:59",2020/09/28,"2020/09/30 15:00:00","2020/10/20 4:59:59",90,40004,25,0
1007,1,"和行会成员互相合作\n打倒强大的怪物吧！",101202,"团队战开始！培养角色\n打倒怪物吧！",101202,0,0,0,"2020/10/20 5:00:00","2020/10/25 23:59:59",2020/10/26,"2020/11/17 4:59:59",2020/10/26,"2020/10/29 15:00:00","2020/11/17 4:59:59",90,40004,25,0
1008,1,"和行会成员互相合作\n打倒强大的怪物吧！",101292,"团队战开始！培养角色\n打倒怪物吧！",101292,0,0,0,"2020/11/17 5:00:00","2020/11/22 23:59:59",2020/11/23,"2020/12/14 4:59:59",2020/11/23,"2020/11/26 15:00:00","2020/12/14 4:59:59",90,40004,25,0
1009,1,"和行会成员互相合作\n打倒强大的怪物吧！",101302,"团队战开始！培养角色\n打倒怪物吧！",101302,0,0,0,"2020/12/14 5:00:00","2020/12/19 23:59:59",2020/12/20,"2021/01/12 4:59:59",2020/12/20,"2020/12/23 15:00:00","2021/01/12 4:59:59",90,40004,25,0
1010,1,"和行会成员互相合作\n打倒强大的怪物吧！",101441,"团队战开始！培养角色\n打倒怪物吧！",101441,0,0,0,"2021/01/12 5:00:00","2021/01/17 23:59:59",2021/01/18,"2021/02/05 4:59:59",2021/01/18,"2021/01/21 15:00:00","2021/02/05 4:59:59",90,40004,25,0
