system_id,quest_id,effect_type,quest_effect_position,se_cue_name
104,31006005,501,0,se_btl_tower_timeup
104,31007005,501,0,se_btl_tower_timeup
104,31008005,501,0,se_btl_tower_timeup
104,320010106,502,0,se_btl_tower_timeup
104,320010107,502,0,se_btl_tower_timeup
104,320010108,502,0,se_btl_tower_timeup
104,320010109,502,0,se_btl_tower_timeup
104,320010110,501,0,se_btl_tower_timeup
104,320010206,502,0,se_btl_tower_timeup
104,320010207,502,0,se_btl_tower_timeup
104,320010208,502,0,se_btl_tower_timeup
104,320010209,502,0,se_btl_tower_timeup
104,320010210,501,0,se_btl_tower_timeup
104,320010306,502,0,se_btl_tower_timeup
104,320010307,502,0,se_btl_tower_timeup
104,320010308,502,0,se_btl_tower_timeup
104,320010309,502,0,se_btl_tower_timeup
104,320010310,501,0,se_btl_tower_timeup
104,320010406,502,0,se_btl_tower_timeup
104,320010407,502,0,se_btl_tower_timeup
104,320010408,502,0,se_btl_tower_timeup
104,320010409,502,0,se_btl_tower_timeup
104,320010410,501,0,se_btl_tower_timeup
104,320010506,502,0,se_btl_tower_timeup
104,320010507,502,0,se_btl_tower_timeup
104,320010508,502,0,se_btl_tower_timeup
104,320010509,502,0,se_btl_tower_timeup
104,320010510,501,0,se_btl_tower_timeup
