comment_id,where_type,character_id,face_type,character_name,description,voice_id,start_time,end_time,pos_x,pos_y,change_face_time,change_face_type,event_id
7001,7,106001,1,"凯露","偶尔帮帮忙不也挺好的吗？\n我也会出一份力的",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-363.0,0.0,0.0,1,0
7002,7,105901,1,"可可萝","似乎能和很多勇士一起战斗呢\n主人的话，一定可以大放异彩吧",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-363.0,0.0,0.0,1,0
7003,7,105801,1,"佩可莉姆","要和大家一起战斗咯！\n加油☆",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-363.0,0.0,0.0,1,0
10001,10,106001,1,"凯露","宝石要慎重使用\n禁止浪费！",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-363.0,0.0,0.0,1,0
10002,10,105901,1,"可可萝","主人可以用宝石\n购买贵重物品\n但是，随便浪费\n是『不可以』的哦",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-363.0,0.0,0.0,1,0
10003,10,105801,1,"佩可莉姆","宝石可以交换食物……\n不，贵重物品！",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-363.0,0.0,0.0,1,0
12001,12,105801,1,"佩可莉姆","达成特定条件\n就可以获取报酬！\n加油吧♪　",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-416.5,0.0,0.0,1,0
13001,13,106001,1,"凯露","有这么多的回忆呢\n虽然发生了很多事\n偶尔回顾一下也不错呀",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-363.0,0.0,0.0,1,0
13002,13,105901,1,"可可萝","和主人共度的欢乐日子...\n在这里想看几次都可以哦♪",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-363.0,0.0,0.0,1,0
13003,13,105801,1,"佩可莉姆","可以看到这么多\n和女孩子之间的回忆呢！\n咻——咻——♪\n真受欢迎啊☆",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-363.0,0.0,0.0,1,0
14001,14,106001,1,"凯露","攻略关卡后，\n可以获取道具\n能拿的东西，\n当然全部拿光！",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-363.0,0.0,0.0,1,0
14002,14,105901,1,"可可萝","这里是可以获得\n培养时所需道具的关卡\n为了主人，\n我想变得更强",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-363.0,0.0,0.0,1,0
14003,14,105801,1,"佩可莉姆","只要通关这场战斗，\n就可以拿到道具哦\n收集更多\n变得更强吧！",1,"2015/12/17 15:00:00","2030/12/17 14:59:59",-363.0,0.0,0.0,1,0
