stamp_id,disp_order,description,start_date,end_date
100101,4,"がんばれー！","2015/04/01 14:00:00","2099/08/01 14:59:59"
100201,5,"ありがとう","2015/04/01 14:00:00","2099/08/01 14:59:59"
100301,6,"参戦","2015/04/01 14:00:00","2099/08/01 14:59:59"
100401,7,"おはよー！","2015/04/01 14:00:00","2099/08/01 14:59:59"
100901,8,"好機到来！","2015/04/01 14:00:00","2099/08/01 14:59:59"
101001,9,"なんぎやわぁ","2015/04/01 14:00:00","2099/08/01 14:59:59"
101101,10,"ラジャー！","2015/04/01 14:00:00","2099/08/01 14:59:59"
101201,11,"いっくよー！","2015/04/01 14:00:00","2099/08/01 14:59:59"
101601,12,"おっけー","2015/04/01 14:00:00","2099/08/01 14:59:59"
101701,13,"なんくるないさー","2015/04/01 14:00:00","2099/08/01 14:59:59"
102001,14,"おやすみなさい。","2015/04/01 14:00:00","2099/08/01 14:59:59"
102101,15,"ワー！ワー！","2015/04/01 14:00:00","2099/08/01 14:59:59"
102201,16,"ガクブル","2015/04/01 14:00:00","2099/08/01 14:59:59"
102301,17,"プンプン","2015/04/01 14:00:00","2099/08/01 14:59:59"
102501,18,"おつかれさ…はわっ！？","2015/04/01 14:00:00","2099/08/01 14:59:59"
102701,19,"ウフフ…","2015/04/01 14:00:00","2099/08/01 14:59:59"
102801,20,"一気にいくわよッ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
102901,21,"私に任せてっ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
103101,22,"コンバンワ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
103401,23,"カンパーイッ","2015/04/01 14:00:00","2099/08/01 14:59:59"
103601,24,"通報しました！","2015/04/01 14:00:00","2099/08/01 14:59:59"
104001,25,"撤退します…","2015/04/01 14:00:00","2099/08/01 14:59:59"
104401,26,"わらわにつづけ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
104501,27,"じゅるり…","2015/04/01 14:00:00","2099/08/01 14:59:59"
104601,28,"にゃあ","2015/04/01 14:00:00","2099/08/01 14:59:59"
104801,29,"ＮＯ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
104901,30,"ごめんね","2015/04/01 14:00:00","2099/08/01 14:59:59"
105001,31,"助けなさいよっ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
105301,32,"ちょっと待った―！","2015/04/01 14:00:00","2099/08/01 14:59:59"
105801,1,"おいっすー","2015/04/01 14:00:00","2099/08/01 14:59:59"
105901,2,"ぐっじょぶです","2015/04/01 14:00:00","2099/08/01 14:59:59"
106001,3,"おぼえてなさいよッ！","2015/04/01 14:00:00","2099/08/01 14:59:59"
