group_id,group_id_comment,group_unit_id_01,group_unit_id_02,group_unit_id_03,group_unit_id_04,group_unit_id_05
20001,"初音＆栞",101201001,103801001,0,0,0
20002,"静流＆璃乃",101101001,104901001,0,0,0
20003,"咲恋＆铃莓",102801001,102501001,0,0,0
20004,"依里＆茜里",100601001,102201001,0,0,0
20005,"佩可莉姆＆可可萝",105801001,105901001,0,0,0
20006,"佩可莉姆＆凯露",105801001,106001001,0,0,0
20007,"可可萝＆凯露",105901001,106001001,0,0,0
20008,"日和莉＆优衣",100101001,100201001,0,0,0
20009,"日和莉＆怜",100101001,100301001,0,0,0
20010,"优衣＆怜",100201001,100301001,0,0,0
20013,"望＆千歌",102901001,104201001,0,0,0
20014,"望＆纺希",102901001,105401001,0,0,0
20015,"千歌＆纺希",104201001,105401001,0,0,0
20016,"美美＆未奏希",102001001,100401001,0,0,0
20017,"美美＆镜华",102001001,103601001,0,0,0
20018,"未奏希＆镜华",100401001,103601001,0,0,0
20019,"美里＆初音",101501001,101201001,0,0,0
20020,"美里＆碧",101501001,104001001,0,0,0
20021,"初音＆碧",101201001,104001001,0,0,0
20022,"伊莉亚＆依里",104401001,102201001,0,0,0
20023,"伊莉亚＆茜里",104401001,100601001,0,0,0
20024,"伊莉亚＆忍",104401001,103101001,0,0,0
20025,"伊莉亚＆宫子",104401001,100701001,0,0,0
20026,"依里＆忍",102201001,103101001,0,0,0
20027,"依里＆宫子",102201001,100701001,0,0,0
20028,"茜里＆忍",100601001,103101001,0,0,0
20029,"茜里＆宫子",100601001,100701001,0,0,0
20030,"忍＆宫子",103101001,100701001,0,0,0
20031,"纯＆克莉丝提娜",104701001,107101001,0,0,0
20032,"纯＆智",104701001,103701001,0,0,0
20033,"纯＆茉莉",104701001,100501001,0,0,0
20034,"克莉丝提娜＆智",107101001,103701001,0,0,0
20035,"克莉丝提娜＆茉莉",107101001,100501001,0,0,0
20036,"智＆茉莉",103701001,100501001,0,0,0
20037,"咲恋＆绫音",102801001,102301001,0,0,0
20038,"咲恋＆胡桃",102801001,102101001,0,0,0
20039,"铃莓＆绫音",102501001,102301001,0,0,0
20040,"铃莓＆胡桃",102501001,102101001,0,0,0
20041,"绫音＆胡桃",102301001,102101001,0,0,0
20042,"真步＆真琴",101001001,104301001,0,0,0
20043,"真步＆香澄",101001001,101401001,0,0,0
20044,"真步＆香织",101001001,101701001,0,0,0
20045,"真琴＆香澄",104301001,101401001,0,0,0
20046,"真琴＆香织",104301001,101701001,0,0,0
20047,"香澄＆香织",101401001,101701001,0,0,0
20048,"真阳＆莉玛",103301001,105201001,0,0,0
20049,"真阳＆栞",103301001,103801001,0,0,0
20050,"真阳＆铃",103301001,102601001,0,0,0
20051,"莉玛＆栞",105201001,103801001,0,0,0
20052,"莉玛＆铃",105201001,102601001,0,0,0
20053,"栞＆铃",103801001,102601001,0,0,0
20054,"秋乃＆美冬",103201001,104801001,0,0,0
20055,"秋乃＆由加莉",103201001,103401001,0,0,0
20056,"秋乃＆珠希",103201001,104601001,0,0,0
20057,"美冬＆由加莉",104801001,103401001,0,0,0
20058,"美冬＆珠希",104801001,104601001,0,0,0
20059,"由加莉＆珠希",103401001,104601001,0,0,0
20060,"流夏＆深月",105601001,105101001,0,0,0
20061,"流夏＆惠理子",105601001,102701001,0,0,0
20062,"流夏＆七七香",105601001,101301001,0,0,0
20063,"流夏＆杏奈",105601001,100901001,0,0,0
20064,"深月＆惠理子",105101001,102701001,0,0,0
20065,"深月＆七七香",105101001,101301001,0,0,0
20066,"深月＆杏奈",105101001,100901001,0,0,0
20067,"惠理子＆七七香",102701001,101301001,0,0,0
20068,"惠理子＆杏奈",102701001,100901001,0,0,0
20069,"七七香＆杏奈",101301001,100901001,0,0,0
20070,"伊绪＆美咲",101801001,105001001,0,0,0
20071,"伊绪＆铃奈",101801001,101601001,0,0,0
20072,"美咲＆铃奈",105001001,101601001,0,0,0
20073,"莫妮卡＆雪",105301001,100801001,0,0,0
20074,"莫妮卡＆妮侬",105301001,103001001,0,0,0
20075,"莫妮卡＆空花",105301001,104501001,0,0,0
20076,"莫妮卡＆步美",105301001,105501001,0,0,0
20077,"雪＆妮侬",100801001,103001001,0,0,0
20078,"雪＆空花",100801001,104501001,0,0,0
20079,"雪＆步美",100801001,105501001,0,0,0
20080,"妮侬＆空花",103001001,104501001,0,0,0
20081,"妮侬＆步美",103001001,105501001,0,0,0
20082,"空花＆步美",104501001,105501001,0,0,0
20083,"咲恋＆秋乃",102801001,103201001,0,0,0
20084,"怜＆纺希",100301001,105401001,0,0,0
20085,"真琴＆优衣",100201001,104301001,0,0,0
20086,"克罗依&千爱瑠",110801001,110901001,0,0,0
20087,"克罗依&优妮",110801001,111001001,0,0,0
20088,"千爱瑠&优妮",110901001,111001001,0,0,0
20089,"安＆露",109201001,109301001,0,0,0
20090,"安＆古蕾雅",109201001,109401001,0,0,0
20091,"露＆古蕾雅",109301001,109401001,0,0,0
20092,"爱蜜莉雅＆雷姆",109901001,109701001,0,0,0
20093,"爱蜜莉雅＆拉姆",109901001,109801001,0,0,0
20094,"雷姆＆拉姆",109701001,109801001,0,0,0
20095,"似似花＆克莉丝提娜",107001001,107101001,0,0,0
20096,"似似花＆莉玛",107001001,105201001,0,0,0
20097,"似似花＆矛依未",107001001,106101001,0,0,0
20098,"矛依未＆克莉丝提娜",106101001,107101001,0,0,0
20100,"嘉夜&祈梨",106501001,106601001,0,0,0
20101,"嘉夜＆帆稀",106501001,106701001,0,0,0
20102,"祈梨＆帆稀",106601001,106701001,0,0,0
20103,"卯月&未央",112401001,112601001,0,0,0
20104,"卯月&凛",112401001,112501001,0,0,0
20105,"未央&凛",112601001,112501001,0,0,0
20106,"菈比莉斯塔&璃乃",106801001,101101001,0,0,0
20107,"菈比莉斯塔&静流",106801001,104901001,0,0,0
20108,"菈比莉斯塔&似似花",106801001,107001001,0,0,0
20109,"菈比莉斯塔&矛依未",106801001,106101001,0,0,0
20110,"雪菲&佩可莉姆",106401001,105801001,0,0,0
20111,"雪菲&可可萝",106401001,105901001,0,0,0
20112,"雪菲&凯露",106401001,106001001,0,0,0
20113,"雪菲&伊绪",106401001,101801001,0,0,0
20114,"初音栞＆碧",180701001,104001001,0,0,0
20115,"初音栞＆美里",180701001,101501001,0,0,0
20116,"初音栞＆真阳",180701001,103301001,0,0,0
20117,"初音栞＆铃",180701001,102601001,0,0,0
20118,"初音栞＆莉玛",180701001,105201001,0,0,0
20119,"克蕾琪塔＆佩可莉姆",118001001,105801001,0,0,0
20121,"帆稀＆雪菲",106701001,106401001,0,0,0
20122,"帆稀＆菈比莉斯塔",106701001,106801001,0,0,0
20123,"未奏希美美镜华＆佩可莉姆",180801001,105801001,0,0,0
20124,"未奏希美美镜华＆可可萝",180801001,105901001,0,0,0
20125,"未奏希美美镜华＆凯露",180801001,106001001,0,0,0
20126,"未奏希美美镜华＆雪菲",180801001,106401001,0,0,0
20127,"未奏希美美镜华＆胡桃",180801001,102101001,0,0,0
20128,"未奏希美美镜华＆绫音",180801001,102301001,0,0,0
20129,"秋乃咲恋＆铃莓",180901001,102501001,0,0,0
20130,"秋乃咲恋＆绫音",180901001,102301001,0,0,0
20131,"秋乃咲恋＆胡桃",180901001,102101001,0,0,0
20132,"秋乃咲恋＆纯",180901001,104701001,0,0,0
20133,"秋乃咲恋＆美冬",180901001,104801001,0,0,0
20134,"秋乃咲恋＆由加莉",180901001,103401001,0,0,0
20135,"秋乃咲恋＆珠希",180901001,104601001,0,0,0
20136,"兰法＆可可萝",118101001,105901001,0,0,0
20137,"兰法＆千歌",118101001,104201001,0,0,0
30001,"日和莉（用于花凛对话）",118501001,300101001,0,0,0
30002,"优衣（用于花凛对话）",118501001,300201001,0,0,0
30003,"怜（用于花凛对话）",118501001,300301001,0,0,0
30004,"未奏希（用于花凛对话）",118501001,300401001,0,0,0
30005,"茉莉（用于花凛对话）",118501001,300501001,0,0,0
30006,"茜里（用于花凛对话）",118501001,300601001,0,0,0
30007,"宫子（用于花凛对话）",118501001,300701001,0,0,0
30008,"雪（用于花凛对话）",118501001,300801001,0,0,0
30009,"杏奈（用于花凛对话）",118501001,300901001,0,0,0
30010,"真步（用于花凛对话）",118501001,301001001,0,0,0
30011,"璃乃（用于花凛对话）",118501001,301101001,0,0,0
30012,"初音（用于花凛对话）",118501001,301201001,0,0,0
30013,"七七香（用于花凛对话）",118501001,301301001,0,0,0
30014,"香澄（用于花凛对话）",118501001,301401001,0,0,0
30015,"美里（用于花凛对话）",118501001,301501001,0,0,0
30016,"铃奈（用于花凛对话）",118501001,301601001,0,0,0
30017,"香织（用于花凛对话）",118501001,301701001,0,0,0
30018,"伊绪（用于花凛对话）",118501001,301801001,0,0,0
30019,"美美（用于花凛对话）",118501001,302001001,0,0,0
30020,"胡桃（用于花凛对话）",118501001,302101001,0,0,0
