unit_id,slot_id,unlock_level,unlock_flag,consume_gold,material_type,material_id,material_count,hp,atk,magic_str,def,magic_def,physical_critical,magic_critical,wave_hp_recovery,wave_energy_recovery,dodge,physical_penetrate,magic_penetrate,life_steal,hp_recovery_rate,energy_recovery_rate,energy_reduce_rate,accuracy
101001,1,1,1,100000,18,32010,50,0,0,100,0,0,0,0,0,0,0,0,0,0,10,0,0,0
101001,2,1,1,100000,11,31010,50,0,0,60,0,0,0,0,0,0,0,0,0,0,10,0,0,0
101001,3,1,0,100000,15,25001,10,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0
101001,3,2,0,200000,15,25001,15,0,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0
101001,3,3,0,400000,15,25001,20,0,0,60,6,0,0,0,0,0,0,0,0,0,0,0,0,0
101001,3,4,0,500000,15,25001,25,0,0,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0
101001,3,5,1,600000,15,25001,30,0,0,100,10,0,0,0,0,0,0,0,0,0,10,0,0,0
101101,1,1,1,100000,18,32011,50,0,160,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
101101,2,1,1,100000,11,31011,50,0,80,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
101101,3,1,0,100000,15,25001,10,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101101,3,2,0,200000,15,25001,15,0,200,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
101101,3,3,0,400000,15,25001,20,0,300,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
101101,3,4,0,500000,15,25001,25,0,400,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
101101,3,5,1,600000,15,25001,30,0,500,0,0,0,40,0,0,0,0,0,0,2,0,2,0,0
101801,1,1,1,100000,18,32018,50,0,0,100,5,5,0,0,0,0,0,0,0,0,0,0,0,0
101801,2,1,1,100000,11,31018,50,170,0,60,1,2,0,0,0,0,0,0,0,0,0,0,0,0
101801,3,1,0,100000,15,25001,10,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101801,3,2,0,200000,15,25001,15,0,0,40,2,2,0,0,0,0,0,0,0,0,0,0,0,0
101801,3,3,0,400000,15,25001,20,0,0,60,3,3,0,0,0,0,0,0,0,0,0,0,0,0
101801,3,4,0,500000,15,25001,25,0,0,80,4,4,0,0,0,0,0,0,0,0,0,0,0,0
101801,3,5,1,600000,15,25001,30,0,0,100,6,7,0,0,0,0,0,0,0,0,0,2,0,0
103401,1,1,1,100000,18,32034,50,0,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
103401,2,1,1,100000,11,31034,50,0,60,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
103401,3,1,0,100000,15,25001,10,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
103401,3,2,0,200000,15,25001,15,0,40,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
103401,3,3,0,400000,15,25001,20,0,60,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
103401,3,4,0,500000,15,25001,25,0,80,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
103401,3,5,1,600000,15,25001,30,0,100,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0
105201,1,1,1,100000,18,32052,50,1500,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0
105201,2,1,1,100000,11,31052,50,1000,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0
105201,3,1,0,100000,15,25001,10,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
105201,3,2,0,200000,15,25001,15,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0
105201,3,3,0,400000,15,25001,20,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0
105201,3,4,0,500000,15,25001,25,0,0,0,24,8,0,0,0,0,0,0,0,0,0,0,0,0
105201,3,5,1,600000,15,25001,30,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0
105801,1,1,1,100000,18,32058,50,1500,0,0,5,5,0,0,0,0,0,0,0,0,10,0,0,0
105801,2,1,1,100000,11,31058,50,1000,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
105801,3,1,0,100000,15,25001,10,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
105801,3,2,0,200000,15,25001,15,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
105801,3,3,0,400000,15,25001,20,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0
105801,3,4,0,500000,15,25001,25,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0
105801,3,5,1,600000,15,25001,30,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0
105901,1,1,1,100000,18,32059,50,0,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
105901,2,1,1,100000,11,31059,50,0,60,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
105901,3,1,0,100000,15,25001,10,0,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
105901,3,2,0,200000,15,25001,15,0,40,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
105901,3,3,0,400000,15,25001,20,0,60,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
105901,3,4,0,500000,15,25001,25,0,80,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
105901,3,5,1,600000,15,25001,30,0,100,0,5,5,0,0,0,0,0,0,0,0,10,0,0,0
106001,1,1,1,100000,18,32060,50,0,0,160,0,0,0,10,0,0,0,0,0,0,0,3,0,0
106001,2,1,1,100000,11,31060,50,0,0,80,0,0,0,5,0,0,0,0,0,0,0,2,0,0
106001,3,1,0,100000,15,25001,10,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0
106001,3,2,0,200000,15,25001,15,0,0,200,0,0,0,10,0,0,0,0,0,0,0,0,0,0
106001,3,3,0,400000,15,25001,20,0,0,300,0,0,0,15,0,0,0,0,0,0,0,0,0,0
106001,3,4,0,500000,15,25001,25,0,0,400,0,0,0,20,0,0,0,0,0,0,0,0,0,0
106001,3,5,1,600000,15,25001,30,0,0,500,0,0,0,25,0,0,0,0,0,2,0,0,0,0
