equipment_id,equipment_name,description,promotion_level,hp,atk,magic_str,def,magic_def,physical_critical,magic_critical,wave_hp_recovery,wave_energy_recovery,dodge,physical_penetrate,magic_penetrate,life_steal,hp_recovery_rate,energy_recovery_rate,energy_reduce_rate,accuracy
130011,"喵王腰带","日和莉所佩戴的腰带。\n带扣上是一只怒目圆睁的野兽，\n能够鼓舞战斗本能，赋予\n她的双拳更强的力量。",98,0.0,4.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130021,"绽放希望","优衣所佩戴的发箍。\n上面可爱的花型蕾丝\n与装饰提高了守护同伴\n的治愈之力。",98,0.0,0.0,2.3,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
130031,"盖尔手套","怜经常使用的的手套。穿上这对\n攻守合一的手套所打出\n的每一拳，会击溃挡在\n前方的任何敌人。",98,5.5,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130041,"捣蛋礼物","未奏希骄傲地将这个恶作剧盒子\n称为她的最高杰作。可不能把它当成是小孩子的玩具，\n其视觉效果和冲击的声音\n一定能让敌人吓破胆。",98,0.0,3.35,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130051,"正义勋章","颁授自骑士团的勋章。茉莉非常珍惜它。每当看到闪闪发光的勋章，茉莉的正义感就会倍增，无论面对何种恶势力都绝不退缩。",98,6.5,0.0,0.0,0.45,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130061,"恶魔三叉戟","茜里十分珍爱的一把魔枪。武\n器中蕴藏的强大魔力，可让小恶\n魔华丽地变身成性感的\n魔女。",98,0.0,0.0,3.6,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130071,"灵甘幽灵布丁","宫子的最爱的究极布丁，个头巨大，\n而且制作细致，材料也\n十分讲究的。那无上的美味\n能让人将舌头都吞下去。",98,11.5,0.0,0.0,0.45,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130081,"闪亮小粉盒","雪很喜欢用的小粉盒。\n据说那闪闪发光的装饰，\n能衬托雪的魅力，\n对全人类造成很大的影响。",98,0.0,0.0,3.15,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130091,"螺旋灵击疾风飞剑","疾风之冥姬所使用的魔装。凡人使用的瞬间就会被魔法吞噬变成废人。当刀刃上闪耀起不祥的深蓝色光芒时，黑暗将化为疾风，把愚者送入地狱。",98,0.0,0.0,4.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130101,"纯洁童话权杖","可爱又绚烂的魔法杖。魔杖上被赋予了真步真步王国的加护，\n只要轻轻一挥，\n就能在释放出支援魔法的同时吹起一股\n童话般梦幻的风。",98,0.0,0.0,2.1,0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
130111,"阳焰之箭","璃乃专用的魔法箭，寄宿着炽烈的火焰。火焰来源于热情的内心，每一箭，都有着令其引以为傲的高威力，拥有一招制胜的潜力。",98,0.0,4.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130121,"流星☆蝴蝶结","妹妹栞亲手做来送给初音的\n蝴蝶结。星星里寄托了栞的思念，\n与姐姐的魔力相呼应\n能降低敌方魔法防御力。",98,0.0,0.0,4.4,0.05,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130131,"七七香最强魔杖","七七香挥舞着的魔法杖。\n它能让天才魔法少女的电脑发出闪光，\n用蕴含着强大魔力的魔法，\n攻击敌人！",98,0.0,0.0,4.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130141,"侦探放大镜","香澄常用的侦探道具之一。\n这放大镜跟她一起解决了很多案件，\n不管是多细微的细节都不会错过，\n让对手无路可逃。",98,0.0,0.0,3.5,0.15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130151,"神爱头纱","美里所佩戴的头纱。\n美里的慈爱从圣洁的头纱之中\n流溢而出，振奋众人精神，\n能提升魔法暴击。",98,0.0,0.0,2.55,0.15,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0
130161,"决胜口红","铃奈秘藏的口红。\n那鲜艳的红色兼具可爱与妖艳，\n只要涂上它，\n就能吸引所有人的目光。",98,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
130171,"球阳唐手秘籍","记载着香织所施展的琉球空手道奥义\n的卷轴。据说，上面施加有特殊的法术，只会对高手的练气产生反应，\n并浮现出文字。",98,0.0,4.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130181,"性感之鞭","伊绪当作教鞭使用的鞭子。\n不管是多乏味的学业，\n一经伊绪之手\n就会变成甜蜜的时光。",98,0.0,0.0,4.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
130201,"兔兔长剑","美美常用的剑。\n美美十分喜欢它可爱的外观，\n但挥起来时，攻击范围却跟外观成反比，\n能让敌人尝到苦头。",98,0.0,4.4,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130211,"纯洁铃铛","胡桃当作护身符的铃铛。\n从外观庄严的铃铛中奏出的\n清脆铃声，能给予怯懦的心灵\n勇气。",98,5.0,0.0,0.0,0.4,0.4,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130221,"恶魔之矛","这把魔枪专门增幅依里\n的魔力。用生命力作为代价获得的\n魔力，强到一挥枪即可将周围\n化为灰烬。",98,0.0,0.0,4.25,0.0,0.05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130231,"伟大的熊王噗吉","众所周知，这是绫音的搭档\n提升力量后的姿态。获得了强大力量后的噗吉\n的攻击能让敌人\n长时间失去意识。",98,0.0,2.5,0.0,0.3,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130251,"皇家女仆裙","体现了侍奉之心的\n连衣围裙。对咲恋的忠诚心从围裙上满溢而出，\n能提高铃莓的魔力，\n让敌人的物理防御力下降。",98,0.0,0.0,4.8,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130261,"宝石浆栎果","这条项链装饰有传说中蕴藏有强大魔力的\n浆栎果。能增强铃所释放的\n魔法，并大幅提升周围同伴的能力。",98,0.0,3.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
130271,"残酷之斧","这把灵斧能提炼惠理子那疯狂的爱意，能将过激的爱情转化成破坏力。每次挥舞斧光，便会奏响毁灭的狂想曲。",98,0.0,4.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
130281,"辉煌羽饰","咲恋经常佩戴的发饰。\n象征着潜藏在她温柔内心中的\n坚强。当羽翼展翅之时，\n身体将不受重力束缚。",98,1.25,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130291,"华丽麦克风","望专用的手持麦克风。可爱的\n蝴蝶结中间画着\n【慈乐之音】的记号。将它紧握\n在手，朝顶级偶像努力。",98,15.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130301,"红莲爆炎扇","妮侬惯用的军配团扇。\n鲜红的团扇所掀起的狂风\n携带着爆炎，直到将阻挡在前的\n所有事物燃烧殆尽才消逝。",98,0.0,4.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130311,"暗灵法袍","忍爱穿的灵衣，\n萦绕着蓝色灵力之火。\n用能被灵附身的丝线编织而成，\n可得到幽灵们的助力。",98,12.5,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
