comment_id,where_type,character_id,face_type,character_name,description,voice_id,start_time,end_time,pos_x,pos_y,change_face_time,change_face_type,event_id
24001,24,102601,1,"リン","あたしだって\nやるときはやるよ！",0,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,0.0,1,10040
24002,24,102601,1,"リン","ふぅ…\nこれであたしの仕事は\n終わりだね",1,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,0.0,1,10040
24003,24,102601,1,"リン","終わった終わった\n一人でもなんとか\nなるもんだね",2,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,0.0,1,10040
24004,24,102601,2,"リン","やったね！\nこれでようやく\nサボれるよ…",3,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,0.0,2,10040
24005,24,102601,1,"リン","チーズが欲しいなら\nきちんと働いて\n買いに来なよ",4,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,0.0,1,10040
24006,24,102601,2,"リン","あたしを敵に回した\n恐ろしさ\n思い知ったか！",5,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,0.0,2,10040
24007,24,102601,2,"リン","あたしも意外と\nやるもんでしょ？",6,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,0.0,2,10040
24008,24,102601,4,"リン","疲れた…\nねずみの逃げ足\n速すぎるよ…",7,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,0.0,4,10040
24009,24,102601,4,"リン","このままじゃ\nまっひ～に\n叱られちゃうよ",8,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,0.0,4,10040
24010,24,102601,4,"リン","まじめに\nやったんだけどな…\n悔しいな～",9,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,0.0,4,10040
24011,24,102601,4,"リン","やられた…\nねずみって意外と\nてごわいね",10,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,0.0,4,10040
24012,24,102601,4,"リン","おのれ～\nあたしのチーズを\n盗みやがって～！",11,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,0.0,4,10040
24013,24,102601,4,"リン","疲れた…\nけど、次こそは\n守り抜くよ…",12,"2020/04/30 12:00:00","2030/12/17 14:59:59",0.0,0.0,1.81,1,10040
