item_id,item_name,description,promotion_level,item_type,value,price,limit_num,start_time,end_time
20001,"迷你经验药剂","用于角色的等级强化，角色经验增加60。",1,1,60,80,99999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
20002,"经验药剂","用于角色的等级强化，角色经验增加300。",2,1,300,400,99999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
20003,"高级经验药剂","用于角色的等级强化，角色经验增加1500。",3,1,1500,2000,99999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
20004,"超级经验药剂","用于角色的等级强化，角色经验增加7500。",4,1,7500,10000,99999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
22001,"精炼石","用于角色的装备强化，装备强化点数增加10。",1,3,10,120,9999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
22002,"上等精炼石","用于角色的装备强化，装备强化点数增加60。",2,3,60,720,9999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
22003,"精炼结晶","用于角色的装备强化，装备强化点数增加200。",3,3,200,2400,9999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
23001,"扫荡券","可快速通关已获得★3评价的战斗。",1,5,0,0,99999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
24001,"白金扭蛋券","可抽取白金扭蛋或Pick Up扭蛋1次的扭蛋券。",1,8,0,0,999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
24002,"豪华扭蛋券","可抽取白金扭蛋或Pick Up扭蛋10次的豪华扭蛋券。",1,8,0,0,999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
24003,"共斗券","共斗时使用，能让通关报酬更豪华的券。",1,10,0,0,999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
24004,"日方10连券","ガチャを10回引くことができるガチャチケット。",1,8,0,0,999,"2015/12/17 15:00:00","2099/12/31 23:59:59"
26101,"露娜币","只有挑战过露娜之塔的人才能获得的珍贵硬币，仅在阿斯特朗的商店流通。",1,9,0,0,999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
31001,"日和莉的记忆碎片","封印着日和莉记忆碎片的道具。收集一定数量后，可以解放角色隐藏的神秘力量。",1,11,31001,0,9999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
31002,"优衣的记忆碎片","封印着优衣记忆碎片的道具。收集一定数量后，可以解放角色隐藏的神秘力量。",1,11,31002,0,9999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
31003,"怜的记忆碎片","封印着怜记忆碎片的道具。收集一定数量后，可以解放角色隐藏的神秘力量。",1,11,31003,0,9999,"2020/01/01 0:00:00","2099/12/31 23:59:59"
