unit_id,unit_name,bg_id,bg_name,position,face_type
100101,"春咲日和莉",500040,"兰德索尔 公会之家",0.0,9
100201,"草野优衣",500040,"兰德索尔 公会之家",0.0,4
100301,"士条怜",500040,"兰德索尔 公会之家",0.0,3
100401,"穗高未奏希",500140,"普莱诺平原",0.0,4
100501,"织原茉莉",500090,"兰德索尔 王城入口",0.0,4
100601,"风宫茜里",500260,"古城",0.0,4
100701,"出云宫子",500260,"古城",0.0,4
100801,"虹村雪",500140,"普莱诺平原",0.0,4
100901,"柊杏奈",500050,"兰德索尔 饮食店内",0.0,3
101001,"姬宫真步",500060,"自卫团 据点",0.0,4
101101,"衣之咲璃乃",500030,"兰德索尔 繁华街",0.0,4
101201,"柏崎初音",500180,"精灵之森",0.0,3
101301,"丹野七七香",500050,"兰德索尔 饮食店内",0.0,2
101401,"雾原香澄",500060,"自卫团 据点",0.0,4
101501,"爱川美里",500180,"精灵之森",0.0,4
101601,"美波铃奈",500080,"月光学院",0.0,9
101701,"喜屋武香织",500060,"自卫团 据点",0.0,4
101801,"支仓伊绪",500080,"月光学院",0.0,4
102001,"茜美美",500140,"普莱诺平原",0.0,2
102101,"栗林胡桃",500110,"咲恋救济院 大厅",0.0,5
102201,"风宫依里",500260,"古城",0.0,4
102301,"北条绫音",500110,"咲恋救济院 大厅",0.0,4
102501,"天野铃莓",500110,"咲恋救济院 大厅",0.0,4
102601,"森近铃",500150,"牧场 据点",0.0,3
102701,"仓石恵理子",500050,"兰德索尔 饮食店内",0.0,4
102801,"佐佐木咲恋",500110,"咲恋救济院 大厅",0.0,4
102901,"樱井望",500010,"兰德索尔 市街地",0.0,1
103001,"妮侬·朱柏尔",500140,"普莱诺平原",0.0,4
103101,"上喜忍",500260,"古城",0.0,4
103201,"藤堂秋乃",500070,"墨丘利财团 据点",0.0,4
103301,"野户真阳",500150,"牧场 据点",0.0,9
103401,"绫濑由加莉",500070,"墨丘利财团 据点",0.0,4
103601,"冰川 镜华",500140,"普莱诺平原",0.0,1
103701,"御久间智",500090,"王城入口",0.0,2
103801,"柏崎栞",500150,"牧场 据点",0.0,2
104001,"双叶碧",500180,"精灵之森",0.0,2
104201,"三角千歌",500010,"市街地",0.0,4
104301,"安芸真琴",500060,"自警团 据点",0.0,2
104401,"伊莉亚·奥恩斯坦",500260,"古城",0.0,4
104501,"远见空花",500140,"普莱诺平原",0.0,4
104601,"宫坂珠希",500070,"墨丘利财团 据点",0.0,3
104701,"白银纯",500090,"兰德索尔 王城入口",0.0,1
104801,"大神美冬",500070,"墨丘利财团 据点",0.0,2
104901,"星野静流",500030,"兰德索尔 繁华街",0.0,4
105001,"玉泉美咲",500080,"月光学院",0.0,2
105101,"宵滨深月",500050,"兰德索尔 饮食店内",0.0,6
105201,"莉玛",500150,"牧场 据点",0.0,9
105301,"莫妮卡·拜斯温特",500140,"普莱诺平原",0.0,2
105401,"茧宫纺希",500010,"兰德索尔 市街地",0.0,9
105501,"石桥步美",500140,"普莱诺平原",0.0,15
105601,"大刀洗流夏",500050,"兰德索尔 饮食店内",0.0,3
105701,"姬塔",500200,"布里萨溪谷",0.0,4
105801,"佩可莉姆",500130,"埃斯特雷拉街道",0.0,3
105901,"可可萝",500130,"埃斯特雷拉街道",0.0,2
106001,"凯露",500130,"埃斯特雷拉街道",0.0,3
106101,"矛依未",500341,"拉比林斯公会据点",0.0,20
106301,"亚里莎",500170,"神秘森林",0.0,3
106401,"雪菲",500361,"美食殿堂 公会之家",0.0,2
106501,"嘉夜",500833,"密林_帐篷",0.0,4
106601,"祈梨",500833,"密林_帐篷",0.0,4
106701,"帆稀",500833,"密林_帐篷",0.0,2
106801,"模索路晶",500030,"兰德索尔 繁华街",0.0,2
107001,"似似花",500341,"拉比林斯公会据点",0.0,2
107101,"克莉丝提娜·摩根",500090,"兰德索尔 王城入口",0.0,2
107501,"佩可莉姆（夏日）",500164,"马尔冈海岸",0.0,4
107601,"可可萝（夏日）",500164,"马尔冈海岸",0.0,4
107701,"铃莓（夏日）",500164,"马尔冈海岸",0.0,4
107801,"凯露（夏日）",500164,"马尔冈海岸",0.0,6
107901,"珠希（夏日）",500284,"无人岛",0.0,2
108001,"美冬（夏日）",500284,"无人岛",0.0,2
108101,"忍（万圣节）",500264,"古城 万圣节",0.0,4
108201,"宫子（万圣节）",500264,"古城 万圣节",0.0,4
108301,"美咲（万圣节）",505030,"兰德索尔 闹市 万圣节",0.0,2
108401,"千歌（圣诞节）",500114,"咲恋救济院_大厅_圣诞节",0.0,2
108501,"胡桃（圣诞节）",500114,"咲恋救济院_大厅_圣诞节",0.0,4
