id,campaign_category,value,system_id,icon_image,start_time,end_time,level_id,shiori_group_id,duplication_order,beginner_id
1,31,3000.0,101,30,"2020/01/01 0:00:00","2020/04/24 4:59:59",0,0,0,0
2,41,3000.0,101,40,"2020/04/18 5:00:00","2020/04/24 4:59:59",0,0,0,0
3,34,3000.0,103,30,"2020/04/23 5:00:00","2020/04/30 4:59:59",0,0,0,0
4,44,3000.0,103,40,"2020/04/23 5:00:00","2020/04/30 4:59:59",0,0,0,0
5,45,3000.0,104,40,"2020/04/29 5:00:00","2020/05/06 4:59:59",0,0,0,0
6,31,3000.0,101,30,"2020/05/01 5:00:00","2020/05/07 4:59:59",0,0,0,0
7,41,3000.0,101,40,"2020/05/01 5:00:00","2020/05/07 4:59:59",0,0,0,0
8,34,2000.0,103,30,"2020/05/01 5:00:00","2020/05/07 4:59:59",0,0,0,0
9,44,2000.0,103,40,"2020/05/01 5:00:00","2020/05/07 4:59:59",0,0,0,0
10,32,3000.0,102,30,"2020/05/07 5:00:00","2020/05/12 4:59:59",0,0,0,0
11,42,3000.0,102,40,"2020/05/07 5:00:00","2020/05/12 4:59:59",0,0,0,0
12,34,2000.0,103,30,"2020/05/12 5:00:00","2020/05/17 4:59:59",0,0,0,0
13,44,2000.0,103,40,"2020/05/12 5:00:00","2020/05/17 4:59:59",0,0,0,0
14,45,2000.0,104,40,"2020/05/17 5:00:00","2020/05/25 4:59:59",0,0,0,0
15,151,1500.0,6004,80,"2020/05/15 11:00:00","2020/05/26 18:59:59",0,0,0,0
16,152,1500.0,6005,80,"2020/05/15 11:00:00","2020/05/26 18:59:59",0,0,0,0
17,132,3000.0,6005,30,"2020/05/21 5:00:00","2020/05/26 18:59:59",0,0,0,0
18,142,3000.0,6005,40,"2020/05/21 5:00:00","2020/05/26 18:59:59",0,0,0,0
19,31,2000.0,101,30,"2020/05/25 5:00:00","2020/06/02 4:59:59",0,0,0,0
20,41,2000.0,101,40,"2020/05/25 5:00:00","2020/06/02 4:59:59",0,0,0,0
21,32,2000.0,102,30,"2020/06/02 5:00:00","2020/06/08 4:59:59",0,0,0,0
22,42,2000.0,102,40,"2020/06/02 5:00:00","2020/06/08 4:59:59",0,0,0,0
23,34,2000.0,103,30,"2020/06/06 5:00:00","2020/06/16 4:59:59",0,0,0,0
24,44,2000.0,103,40,"2020/06/06 5:00:00","2020/06/16 4:59:59",0,0,0,0
25,151,1500.0,6004,80,"2020/06/08 11:00:00","2020/06/27 23:59:59",0,0,0,0
26,152,1500.0,6005,80,"2020/06/08 11:00:00","2020/06/27 23:59:59",0,0,0,0
27,131,2000.0,6004,30,"2020/06/08 11:00:00","2020/06/14 4:59:49",0,0,0,0
28,141,2000.0,6004,40,"2020/06/08 11:00:00","2020/06/14 4:59:49",0,0,0,0
29,132,2000.0,6005,30,"2020/06/08 11:00:00","2020/06/14 4:59:49",0,0,0,0
30,142,2000.0,6005,40,"2020/06/08 11:00:00","2020/06/14 4:59:49",0,0,0,0
31,45,2000.0,104,40,"2020/06/15 5:00:00","2020/06/26 4:59:59",0,0,0,0
32,31,2000.0,101,30,"2020/06/25 5:00:00","2020/07/01 4:59:59",0,0,0,0
