story_group_id,story_type,value,title,thumbnail_id,disp_order,start_time,end_time,order
1001,1,1001,"日和莉",0,35,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1002,1,1002,"优衣",0,50,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1003,1,1003,"怜",0,58,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1004,1,1004,"未奏希",0,43,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1005,1,1005,"茉莉",0,38,"2020/10/09 11:00:00","2099/12/31 23:59:59",0
1006,1,1006,"茜里",0,2,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1007,1,1007,"宫子",0,47,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1008,1,1008,"雪",0,52,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1009,1,1009,"杏奈",0,7,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1010,1,1010,"真步",0,40,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1011,1,1011,"璃乃",0,54,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1012,1,1012,"初音",0,34,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1013,1,1013,"七七香",0,31,"2020/12/10 9:00:00","2099/12/31 23:59:59",0
1014,1,1014,"香澄",0,12,"2021/03/15 11:00:00","2099/12/31 23:59:59",0
1015,1,1015,"美里",0,42,"2020/06/23 11:00:00","2099/12/31 23:59:59",0
1016,1,1016,"铃奈",0,25,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1017,1,1017,"香织",0,11,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1018,1,1018,"伊绪",0,8,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1020,1,1020,"美美",0,46,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1021,1,1021,"胡桃",0,17,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1022,1,1022,"依里",0,53,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1023,1,1023,"绫音",0,4,"2020/05/28 11:00:00","2099/12/31 23:59:59",0
1025,1,1025,"铃莓",0,26,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1026,1,1026,"铃",0,56,"2020/05/07 13:00:00","2099/12/31 23:59:59",0
1027,1,1027,"惠理子",0,10,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1028,1,1028,"咲恋",0,19,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1029,1,1029,"望",0,33,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1030,1,1030,"妮侬",0,32,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1031,1,1031,"忍",0,23,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1032,1,1032,"秋乃",0,3,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1033,1,1033,"真阳",0,39,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1034,1,1034,"由加莉",0,51,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1036,1,1036,"镜华",0,14,"2020/06/08 11:00:00","2099/12/31 23:59:59",0
1037,1,1037,"智",0,30,"2020/09/28 9:00:00","2099/12/31 23:59:59",0
1038,1,1038,"栞",0,21,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1040,1,1040,"碧",0,1,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1042,1,1042,"千歌",0,28,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1043,1,1043,"真琴",0,37,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1044,1,1044,"伊莉亚",0,9,"2020/07/06 11:00:00","2099/12/31 23:59:59",0
1045,1,1045,"空花",0,15,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1046,1,1046,"珠希",0,27,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1047,1,1047,"纯",0,24,"2020/04/23 13:00:00","2099/12/31 23:59:59",0
1048,1,1048,"美冬",0,45,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1049,1,1049,"静流",0,22,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1050,1,1050,"美咲",0,41,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1051,1,1051,"深月",0,44,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1052,1,1052,"莉玛",0,55,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1053,1,1053,"莫妮卡",0,49,"2020/01/01 0:00:00","2099/12/31 23:59:59",0
1054,1,1054,"纺希",0,29,"2020/07/20 11:00:00","2099/12/31 23:59:59",0
1056,1,1056,"流夏",0,57,"2020/11/30 11:00:00","2099/12/31 23:59:59",0
