skill_id,ub_auto_id_1,ub_auto_id_2,ub_auto_id_3,ub_auto_id_4,ub_auto_id_5
1001001,1,0,0,0,0
1001011,1,0,0,0,0
1002001,14002,11002,0,0,0
1002011,1,0,0,0,0
1003001,1,0,0,0,0
1003011,1,0,0,0,0
1004001,1,0,0,0,0
1004011,1,0,0,0,0
1005001,1,0,0,0,0
1006001,1,0,0,0,0
1006011,1,0,0,0,0
1007001,12002,0,0,0,0
1007011,12002,0,0,0,0
1008001,1,0,0,0,0
1009001,22001,0,0,0,0
1010001,21001,28001,0,0,0
1010011,21001,28001,0,0,0
1011001,1,0,0,0,0
1011011,1,0,0,0,0
1012001,1,0,0,0,0
1012011,1,0,0,0,0
1013001,1,0,0,0,0
1013011,1,0,0,0,0
1014001,1,0,0,0,0
1015001,14002,11002,0,0,0
1016001,1,0,0,0,0
1016011,1,0,0,0,0
1017001,1,0,0,0,0
1017011,1,0,0,0,0
1018001,25001,25002,0,0,0
1018011,25001,25002,0,0,0
1020001,1,0,0,0,0
1020011,1,0,0,0,0
1021001,1,0,0,0,0
1021011,1,0,0,0,0
1022001,1,0,0,0,0
1022011,1,0,0,0,0
1023001,1,0,0,0,0
1023011,1,0,0,0,0
1025001,1,0,0,0,0
1025011,1,0,0,0,0
1026001,1,0,0,0,0
1026011,1,0,0,0,0
1027001,1,0,0,0,0
1028001,1,0,0,0,0
1028011,1,0,0,0,0
1029001,1,0,0,0,0
1029011,1,0,0,0,0
1030001,1,0,0,0,0
1030011,1,0,0,0,0
1031001,1,0,0,0,0
1032001,1,0,0,0,0
1032011,1,0,0,0,0
1033001,1,0,0,0,0
1033011,1,0,0,0,0
1034001,1,0,0,0,0
1034011,1,0,0,0,0
1036001,1,0,0,0,0
1036011,1,0,0,0,0
1037001,1,0,0,0,0
1038001,1,0,0,0,0
1040001,1,0,0,0,0
1040011,1,0,0,0,0
1042001,14002,11002,0,0,0
1042011,1,0,0,0,0
1043001,1,0,0,0,0
1044001,1,0,0,0,0
1045001,12002,0,0,0,0
1045011,12002,0,0,0,0
1046001,1,0,0,0,0
1046011,1,0,0,0,0
1047001,1,0,0,0,0
1048001,1,0,0,0,0
1048011,1,0,0,0,0
1049001,1,0,0,0,0
1049011,1,0,0,0,0
1050001,1,0,0,0,0
1050011,1,0,0,0,0
1051001,1,0,0,0,0
1052001,1,0,0,0,0
