area_id,event_id,area_name,map_type,sheet_id,que_id,area_disp,map_id,scroll_width,scroll_height,open_tutorial_id,tutorial_param_1,tutorial_param_2,additional_effect
20001101,20001,"塔古姆地区",201,bgm_M32,bgm_M32,1,1,0,0,0,0,0,0
20001201,20001,"塔古姆地区",201,bgm_M32,bgm_M32,1,0,0,0,0,0,0,0
20002101,20002,"马希纳地区",201,bgm_M98,bgm_M98_2,1,0,0,0,0,0,0,0
20002201,20002,"马希纳地区",201,bgm_M98,bgm_M98_2,1,0,0,0,0,0,0,0
20003101,20003,"兰德索尔郊外",201,bgm_M106,bgm_M106,1,0,0,0,0,0,0,0
20003201,20003,"兰德索尔郊外",201,bgm_M106,bgm_M106,1,0,0,0,0,0,0,0
20004101,20004,"塔帕斯海滩周边",201,bgm_M112,bgm_M112,1,0,0,0,0,0,0,0
20004201,20004,"塔帕斯海滩周边",201,bgm_M112,bgm_M112,1,0,0,0,0,0,0,0
20005101,20005,"伊尔西翁的孤岛",201,bgm_M121,bgm_M121,1,0,0,0,0,0,0,0
20005201,20005,"伊尔西翁的孤岛",201,bgm_M121,bgm_M121,1,0,0,0,0,0,0,0
20006101,20006,"王都兰德索尔",201,bgm_M128,bgm_M128,1,0,85,0,0,0,0,0
20006201,20006,"王都兰德索尔",201,bgm_M128,bgm_M128,1,0,0,0,0,0,0,0
20007101,20007,"兰德索尔郊外",201,bgm_M135,bgm_M135,1,1,0,0,0,0,0,0
20007102,20007,"灵界",201,bgm_M29,bgm_M29,1,2,0,80,1,202,208,0
20007103,20007,"兰德索尔中心部",201,bgm_M135,bgm_M135,1,3,0,0,1,202,209,1
20007201,20007,"兰德索尔郊外",201,bgm_M135,bgm_M135,1,1,0,0,0,0,0,31
20008101,20008,"兰德索尔近郊",201,bgm_M162,bgm_M162,1,0,35,0,0,0,0,0
20008201,20008,"兰德索尔近郊",201,bgm_M162,bgm_M162,1,0,0,0,0,0,0,0
20009101,20009,"咲恋救济院",201,bgm_M171,bgm_M171,1,1,110,0,0,0,0,11
20009201,20009,"王都兰德索尔",201,bgm_M171,bgm_M171,1,1,0,0,0,0,0,0
20010101,20010,"前往神殿的神道",201,bgm_M182,bgm_M182,1,1,1,180,0,0,0,0
20010201,20010,"前往神殿的神道",201,bgm_M182,bgm_M182,1,1,0,0,0,0,0,0
20011101,20011,"王都兰德索尔",201,bgm_M189,bgm_M189,1,1,0,0,0,0,0,0
20011102,20011,"厨房竞技场",201,bgm_M189,bgm_M189,1,2,110,0,0,0,0,0
20011201,20011,"厨房竞技场",201,bgm_M189,bgm_M189,1,1,0,0,0,0,0,0
