id,exchange_id,unit_id,rarity,gacha_bonus_id
1,1,104701,3,0
2,2,101001,3,0
3,2,104301,3,0
4,3,106301,3,0
5,4,102801,3,0
6,5,103601,3,0
7,6,101201,3,0
8,7,104401,3,0
9,8,102901,3,0
10,9,107501,3,0
11,10,107701,3,0
12,11,107801,3,0
13,12,107901,3,0
14,13,103701,3,0
15,14,104301,3,0
16,15,170101,3,0
17,16,108101,3,0
18,17,108301,3,0
19,18,107101,3,0
20,19,105601,3,0
21,20,104401,3,0
22,21,108401,3,0
23,22,170201,3,0
24,22,170101,3,0
25,23,108601,3,0
26,24,108801,3,0
27,24,107101,3,0
28,25,108801,3,0
29,26,108701,3,0
30,27,109101,3,0
31,28,106101,3,0
32,29,101401,3,0
33,30,105501,1,0
34,30,106301,3,0
35,30,101501,2,0
36,31,103601,3,0
37,31,104901,3,0
38,31,104401,3,0
39,31,100701,2,0
40,31,104601,2,0
41,31,102701,2,0
42,31,100301,1,0
43,31,103401,1,0
44,31,100101,1,0
45,32,109201,3,0
46,33,109401,3,0
47,34,109501,3,0
48,34,107101,3,0
49,35,109501,3,0
50,36,103601,3,0
51,36,102001,2,0
52,36,100401,1,0
53,37,109601,3,0
54,38,109701,3,0
55,39,104401,3,0
56,39,101001,3,0
57,39,101701,2,0
58,40,109901,3,0
59,41,110001,3,0
60,42,107501,3,0
61,42,107801,3,0
62,43,110301,3,0
63,44,110401,3,0
64,45,107701,3,0
65,45,107901,3,0
66,46,110601,3,0
67,47,104401,3,0
68,47,100601,2,0
69,47,100701,2,0
70,47,103101,2,0
71,47,102201,1,0
72,48,107001,3,0
73,48,106101,3,0
74,48,107101,3,0
75,49,110701,3,0
76,50,105701,3,0
77,50,106301,3,0
